TITAN OMNISCIENCE - ARQUITECTURA DE BASE DE DATOS,,,,,
Sistema de Big Data para Predicción Deportiva con XGBoost,,,,,
Versión: 3.1 FINAL | Variables: 615 | Tablas: 41 | Normalización: 3NF,,,,,
,,,,,
CATEGORÍA,TABLAS,VARS,DESCRIPCIÓN,,
1. ENTIDADES CORE,"matches, teams, players, stadiums, referees, managers, competitions, seasons",80,Tablas maestras con PKs. teams.team_type diferencia CLUB vs NATIONAL_TEAM.,,
2. DATOS POR PARTIDO,"match_weather, match_context, match_lineups, match_odds, match_travel, match_h2h",112,"Contexto pre-partido: clima, cuotas, fatiga, alineaciones, H2H histórico.",,
3. EVENTOS IN-GAME,"match_events, goals, shots, cards, substitutions, fouls, set_pieces, var_reviews",114,"Eventos atómicos minuto a minuto con coordenadas (x,y) y timestamps.",,
4. RENDIMIENTO AGREGADO,"team_season_stats, player_season_stats, player_match_stats, referee_season_stats",162,"Estadísticas acumuladas: xG, xGA, forma, rachas, porteros, transiciones.",,
5. TABLAS AUXILIARES,"cities, player_injuries, player_transfers, manager_tenures",34,"Historial de lesiones, traspasos, períodos de técnicos.",,
6. PSICOLOGÍA AVANZADA,"player_personal_events, match_geopolitical_context, player_tournament_context, player_media_incidents, player_discipline_history, match_attendance, match_stoppage_times, referee_match_history, manager_match_context, match_emotional_connections, cross_correlation_features",113,"Eventos vitales, geopolítica, errores virales, disciplina, presión, conexiones.",,
TOTAL,41 TABLAS NORMALIZADAS (3NF),615,Sistema relacional completo para predicción deportiva.,,
,,,,,
,,,,,
DETALLE DE LAS 41 TABLAS,,,,,
,,,,,
#,TABLA,TIPO,CLAVE / PROPÓSITO,,
1,matches,CORE,"PK: match_id. Tabla central del sistema. FK → teams, stadiums, referees, competitions.",,
2,teams,CORE,PK: team_id. Clubes y selecciones. team_type='CLUB'|'NATIONAL_TEAM'.,,
3,players,CORE,"PK: player_id. Datos biográficos, posición, valor de mercado.",,
4,stadiums,CORE,"PK: stadium_id. Ubicación, altitud, césped, dimensiones, capacidad.",,
5,referees,CORE,PK: referee_id. Árbitros con nacionalidad y experiencia.,,
6,managers,CORE,PK: manager_id. Entrenadores con estilo táctico y formación preferida.,,
7,competitions,CORE,"PK: competition_id. Ligas, copas, torneos continentales, mundiales.",,
8,seasons,CORE,PK: season_id. Temporadas con flags de año mundial/eurocopa.,,
9,match_weather,PARTIDO,"FK: match_id. Clima completo: temperatura, viento, lluvia, visibilidad.",,
10,match_context,PARTIDO,"FK: match_id. Contexto: posiciones, puntos, zonas descenso/título.",,
